RecordNo,HBU_Q17
2075,66 years have taught me this society cares nothing about pollution
2223,A complex but interesting topic
567,"A difficult balance between repurposing and protecting wildlife, for every site rich in wildlife that is redeveloped, another within a certain radius should be preserved. We cant develop more at the expense of wildlife"
342,A good subject
1931,A lot but I have not got the time at the moment. It really comes down to ' who owns the land?' and what is the UK Government trying to do to encourage mass housing on land which was never meant for housing.
1555,A priority should be given to housing also protect wildlife
482,Abandoned mines etc should be considered as high-risk for crime enabling
1938,Absolutely agree with putting Housing on Brownfield sites - however you still need to give these people access to some form of green space within the estate.
2084,Adding public rights of way whether the site is developed or not is a priority
531,"Affordable housing for everyone, including plentiful access to green spaces"
769,Affordable housing is necessary but not at detriment to environment and natural wildlife . We need to look after our planet
2181,"After effective attempts to clean them up as much as possible, they should be left to slowly recover. This might take a good few centuries."
578,All brownfield sites should be prkoritised for affordable housing but must have sensible sized gardens and or green open space
1565,All brownfield sites should be reused for housing as the country has a massive homeless population that need cheap homes to rent not multimillion pounds houses
1467,All Brownfield sites should be used first.
1483,All Brownfield sites should be used instead of Green sites
602,All building housing or industrial should use brownfield sites first
1288,All for wildlife
1486,"All land should be used in some positive way, but people really undervalue walking and areas that can be used for enjoyment whilst helping the wildlife"
70,"All natural sites should be able to add value to local communities, opening up access and allowing people to spend time outside and in nature."
645,all should be designated for nature.
2206,"ALL sites around here are considered/used for building, particularly greenfield sites as they don’t need clearing. Houses are built everywhere/anywhere with no thought of infrastructure. We pay 3 times the Council tax of Westminster, yet the roads are covered in litter and potholes, rubbish collection/ bin emptying is seldom done, shop rents are so dear the town centre is empty. The business park by us sits empty still. The schools are in a desperate state of disrepair."
1165,all sites in uk are in different areas so all need to be assessed induvidually
718,ALL SITES should be considered for housing BEFORE using greenfield
1145,All these sites need to be used for the community’s living in said area
1137,Almost everywhere in England was previously a brownfield site
633,Although I like the Idea of a wild life and plant area we have a bigger need for housing so in reality that probably what I would say is needed
2199,"Although we need more housing especially low cost housing , we also need to be mindful of wildlife and green areas . Renewable energy sources are very much needed and we need more environmentally friendly fuel sources such as wind / solar power ."
1158,"always seems a shame that developers demolish existing building to build for profit, without concerns for environmental effect of the projects"
1515,"Answers very much depend on where you live. I live close to Dartmoor so, frankly, have no real feelings about brownfield sites. If I lived in a big city, I would probably give somewhat different answers."
651,Any changes to a community should be considered carefully and the views of those it will affect the most.
631,Any site that can be used for sustainability purpose would be most benefícial
1222,Apart from being tedious I don't think one can make informed decisions after looking at a photograph
941,appalling survery re response boxes. tedious and difficult to use. your results will be unreliable i fear
1193,"Area needs to be risk assess for flooding, land movements, sink holes etc before being developed"
1060,Areas for wild life should be given priority
1405,"As a former resident of Kent and a housing manager I was always aware of the derelict /brown field sites around South and East Kent . Kent is littered with such areas needing redevelopment .However my home village was punched through with a cross channel High speed rail link, a motorway and the tthreat of a massive housing project plus a bio fuel digester (180 lorries a day projected to bring in waste .)all built in the surrounding countryside . Ashford,7 miles away, was turned into an outsiders rental paradise -cheap slab flats with lots of landlords minting it from asylum seekers and benefit dependents .We packed our bags and moved ."
1150,"as a village,we have all sorts of sites around us,like the catergories previously mentioned,but there is room,so as long as they are far enough away from the village housing,there is no problem"
2098,As long as it was managed to the best of ability
180,As long as it’s for the good of the land and or critters / wildlife is a good thing.
702,As many sites as possible should remain undeveloped (whether brownfield sites or not) as there is plenty of developed or disused land that can be repurposed and redeveloped.
565,As much land as possible should be left undeveloped to allow wildlife to flourish.
2110,As previously mentioned. Each and every site has its own merits. Therefore future uses had their own pros and cons
710,"As previously ststed, brownfield sites are complex and each one is different. Trying to standardise them is a lost cause. It is a highly specialised field and tightly controlled by law."
570,"Authorities need to be more aware of things like floodplains, fragile eco-systems, affects on the environment (e.g. trees do a lot more than provide wood and shade)."
1136,Be good to use them as renewable energy sources. Instead of putting up housing estates. More need to be put in to renewable energy
2214,Be nice to clean some up and make the recreational
1680,"Before we develop areas of green belt land, councils should ensure that all brownfield sites have been used"
2086,Better to improve brownfield sites than use farming land.
1539,Better to use them than dig up farmland. I do not agree with wind farms. They are bird choppers in all circumstances. Use other power production methods first.
16,better used for something than nothing
1615,brown field need to be managed to their potential
2019,Brown field site help slow development of green field sites
111,Brown field sites in towns should be developed but not in the countryside
2030,brown field sites should be used before using green field sites to build on
1840,Brown field sites with no discernable eco credentials should be used for building affordable social housing to rent.
1889,Brown sites should be clean if hazardous to any life and put the best use in that area.
1989,Brownfield and undeveloped sites are being developed before greenfield sites. Brownfield and undeveloped sites should all be developed before building on greenfield sites is allowed.
1779,Brownfield developed before undeveloped.
713,"Brownfield development should be first choice over Greenfield sites. Will fe should be protected, encouraged, accommodated in all developments."
2143,Brownfield for housing every time as opposed to green belt.
1863,Brownfield land dependent on size should be considered for both housing and managed wildlife reserve
799,brownfield or undeveloped sites should always be used before considering green belt removal
1419,Brownfield should be only built on if it is beneficial to the community and as a.last resort. It should.not be built on at the expense of green belt
1331,Brownfield should be turned into nature reserves.
1883,Brownfield site like quarries snd mines or extraction can be excellent wildlife sites - if it’s not suitable for that then priority should go to housing.
942,"Brownfield sites - what is really important is WHAT WAS THERE before - when was it there active as a usiness or whatever -what is in the ground, soaked down?"
2032,"Brownfield sites and refurbished sites should be used for solar and wind energy first , green field sites for housing last , redevelop offices for housing Stop building on farm land!!!."
1717,"Brownfield sites are better if housing must be built, than on greenbelt."
1140,Brownfield sites are cool
1224,"Brownfield sites are not always best, an assessment of the local wildlife and potential impacts should be done before any development"
1856,"Brownfield sites are often extraordinarily rich in wildlife . I didn’t feel the questions were helpful - they made assumptions which aren’t necessarily true so we’re impossible to answer . For instance, the surrounds of industrial sites being relatively undisturbed can be great for wildlife yet agricultural use sounds good but can be a chemical polluted monoculture"
329,Brownfield sites are often overdeveloped to hit impossible housing targets
1765,Brownfield sites are often overly generalised and the vagueness does not highlight that some are rich in wildlife
1251,Brownfield sites are there to be used.
1302,"Brownfield sites can be a eyesore and not a safe place. Turn them into something useful, housing and factories"
1921,Brownfield sites can be a good thing if they provide value locally.
2060,Brownfield sites have to be detoxified before use for housing to prevent harm to the population.
35,Brownfield sites in cities and towns should be used before ones in more open areas where there is rich wildlife already there. If they are developed then spaces for wildlife and biodiversity as well as public access should e built in as standard.
746,"Brownfield sites in or close to towns should be used for housing, with a nature reserve attached. NOT INDUSTRIAL."
1553,Brownfield sites in the countryside should be prioritised for nature. Brownfield sites in urban areas should be used for housing or industry. Green belts should be sacrasanct.
700,Brownfield sites must always be used for development before greenfield sites.
1662,Brownfield sites near urban areas need to be prioritised for use with wildlife
996,Brownfield sites need community input for redevelopment
1527,Brownfield sites rich in animal life should be left undeveloped.
1076,Brownfield sites ripe for redevelopment should have a time limit placed on them to avoid land being left purposely undeveloped.
248,brownfield sites should always be developed for housing rather than using green belt land
2243,Brownfield sites should always be given preference over other undeveloped areas when planning.
323,Brownfield sites should always be selected for housing and Greenfield sites left alone
2144,Brownfield sites should always be the preference for development over other land.
896,Brownfield sites should always be used for housing before any greenfield sites
228,"Brownfield sites should always be used for industrial, commercial or housing use before ""green"" land, I remember when I was a child a lovely wood being ripped apart to build office space, much of which has been at some stage lain empty."
221,Brownfield sites should be appropriately used in its surroundings for example in the middle of an urban area use for housing. In rural areas energy production or wide life use
151,"Brownfield sites should be developed ahead of other available land, regardless of the nature of repurpose."
1929,"Brownfield sites should be developed, so that Greenbelt land is not developed"
1124,Brownfield sites should be exhausted before building on greenfield sites
1042,"Brownfield sites should be prioritised for redevelopment by distance from city centres, nearer to the centre first."
1556,Brownfield sites should be re used in some form.
1433,Brownfield sites should be the first to be redeveloped rather than building on green belt land which should be protected at all costs
1849,Brownfield sites should be used and not left to pollute the environment. Undeveloped sites need to be evaluated so that they are used to enhance the lives of the local population.
1481,brownfield sites should be used before greenfield sites where possible
379,Brownfield sites should be used first where there is no important biodiversity at risk
1454,Brownfield sites should be used for development where suitable before greenfield sites
764,Brownfield sites should be used for housing and manufacturing sites before using more undeveloped and green belt sites.
1279,Brownfield sites should be used for housing before green field or greenbelt sites
1504,Brownfield sites should be used for the benefit of the environment and community rather than for priority finicial gain.
1352,brownfield sites should be used for the local community outside sports field and nature reserves
204,brownfield sites should be used for useful purposes rather than encroaching on green belt/gardens/coastline
1155,"Brownfield sites should be used sensitively with awareness of wildlife, flora and fauna. Research should be carefully undertaken before using such sites, particularly with regard to old mining works which often underlie housing in some parts."
1188,Brownfield sites should have a clause in their ownership that if they aren't developed in 5 years the council can take over for free and put housing n them
884,Brownfield sites should not be lost to housing.
950,brownfield sites should not be neglected must be put to use
266,Brownfield sites should really be properly documented and managed.
2039,Brownfield sites should still always be promoted as first choice for redevelopment over virgin ground
1410,Brownfield sites sound like a good idea only if redeveloped.
